action_type,action_code,abbreviation,communities,consumer_tags_AML,consumer_tags_Finance,consumer_tags_Regulatory,date_range_function,header_information_header_support,header_information_no_header_column,parents,pii_information_csv_column_encryption,pii_information_decrypt_method,pii_information_encryption_support,query_reference_database_name,query_reference_query,query_reference_query_version,report_file_name_pattern,report_name,schedule_crontab,schedule_timezone,start_date,_row_index,dataset,source_system
REPORT,retail_sports_pool_expired_ticket_report,RSPETR,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sports_Pool_Expired_Ticket.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Expired_Ticket/{ed_year}/{ed_month}/{ed_day}/retail-expired-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Expired Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,39,,
REPORT,retail_sports_pool_expired_ticket_report_per_community,RSPETRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_expired_ticket_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sports_Pool_Expired_Ticket_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Expired_Ticket_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-expired-ticket-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Expired Report Per Community,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,40,,
REPORT,retail_sports_pool_pending_voidscancels_lifetime_to_date,RSPPVLTD,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Pending_VoidsCancels_Lifetime_To_Date.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Pending_VoidsCancels_Lifetime_To_Date/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-pending-voidscancels-lifetime-to-date-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Pending Voids/cancels Lifetime To Date Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,41,,
REPORT,retail_sports_pool_pending_voidscancels_lifetime_to_date_per_community,RSPPVLTDPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_pending_voidscancels_lifetime_to_date,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Pending_VoidsCancels_Lifetime_To_Date_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Pending_VoidsCancels_Lifetime_To_Date_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-pending-voidscancels-Lifetime-To-Date-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Pending Voids/cancels Lifetime To Date Report Per Community,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,42,,
REPORT,retail_sports_pool_pending_voidscancels_report,RSPPVR,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_recap_bets,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Pending_VoidsCancels.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Pending_VoidsCancels/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-pending-voidscancels-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Pending Voids/cancels Report,45 17 * * *,Etc/UTC,2024-11-29 15:05:00,43,,
REPORT,retail_sports_pool_pending_voidscancels_report_per_community,RSPPVRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_pending_voidscancels_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Pending_VoidsCancels_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Pending_VoidsCancels_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-pending-voidscancels-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Pending Voids/cancels Report Per Community,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,44,,
REPORT,retail_sports_pool_resettlement_report,RSPRR,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_sport_pool_resettlement,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/Retail_SP_Resettlement.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Resettlement_Ticket/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-resettlement-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Resettlement Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,45,,
SENSOR,retail_sport_pool_resettlement,RSPRS,,,,,get_current_date_6am,,,,,,,SDP,"SELECT (SELECT case when max(ifnull(ifnull(SETTLED_AT_LOCAL,PLACED_AT_LOCAL), w.SYSTEM_UPDATE_DATETIME)) > '{{ To_date }}' then true else false end FROM sdp.core.bet w join sdp.core.domain d ON w.domain_id = d.domain_id WHERE  domain_code = '{{ DomainCd }}' ) and (SELECT case when max(MESSAGE_TIME_LOCAL)> '{{ To_date }}' then true else false end FROM sdp.core.bet_asset_flow w join sdp.core.domain d ON w.domain_id = d.domain_id WHERE  domain_code = '{{ DomainCd }}' ) and ( SELECT case when count(*)>0 then true else false end FROM AUDIT.TASK_STEP_EXECUTION WHERE TASK_STEP_NAME = ' MERGE_RETAIL_SPORT_POOL_RESETTLEMENT_DATA ' AND TASK_STEP_STATUS = 'COMPLETED' AND TASK_STEP_EXECUTION_STATUS = 'SUCCESS' and EXECUTION_DATE >= '{{ To_date }}' ) ;",,,,5 17 * * *,Etc/UTC,,46,retail_sport_pool_resettlement,BE
REPORT,retail_sports_pool_resettlement_report_per_community,RSPRRPC,"Chase_Field, Harrahs_Ak_Chin, Arizona_Downs",False,True,False,get_current_date_6am,CsvHeader(),False,retail_sports_pool_resettlement_report,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/Retail_SP_Resettlement_Per_Community.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Resettlement_Ticket_Per_Community/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-resettlement-ticket-report-{community}-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Resettlement Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,47,,
REPORT,retail_sports_pool_results_report,RSPRRE,,False,True,False,get_current_date_6am,CsvHeader(),False,retail_sport_pool_transaction,,,,SDP,./scripts/WH/US_ALL/05_Queries/Reports_BOP/Retail/Daily/RPT_Retail_Sports_Pool_Results_Ticket.sql,v2.6.1_1.9_1.0,AZ/Retail_Sports_Pool_Results/{ed_year}/{ed_month}/{ed_day}/retail-sports-pool-results-ticket-report-{fd_year}-{fd_month}-{fd_day}.csv,Retail Sports Pool Results Report,5 17 * * *,Etc/UTC,2024-11-29 15:05:00,48,,
